,FIPS,F-VALUES
0,04019,1.9719849540669625
1,04021,0.12232415327555915
2,04023,-0.010106614902734352
3,06019,-0.17601314084632433
4,06025,-0.02435932497138771
5,06027,-0.001178454782977908
6,06029,0.015641261809002133
7,06031,-0.0230345015163754
8,06037,3.2266968504862406
9,06051,-0.0007008438367239739
10,06059,0.7613388492863384
11,06065,0.5377106358474533
12,06071,0.5867656015198733
13,06073,-0.9298243581523511
14,06083,0.027636147881313678
15,06107,0.02712806848760707
16,06109,-0.011236466614002913
17,06111,0.11835976023823974
18,08001,0.024097167106541032
19,08005,-0.04016575862704612
20,08007,-0.00285179157068399
21,08013,-0.03284452934267203
22,08014,-0.01143628137539772
23,08015,-0.0047793770658754835
24,08019,0.0003426884273582579
25,08031,-0.1919972971897651
26,08033,-0.00039287575917033526
27,08035,0.06931446440397132
28,08037,0.01786436879117923
29,08039,-0.0009586735536296918
30,08041,0.009396144495372256
31,08043,0.061029092295818606
32,08045,0.01476386832816536
33,08047,-0.000176784681451633
34,08051,0.006767175304361691
35,08053,-0.00011104065021547134
36,08059,0.020888265043371997
37,08067,-0.010159676431174046
38,08069,0.09194218149277242
39,08077,-0.025208877636820764
40,08079,-0.000180686697043889
41,08083,0.002193124518408706
42,08093,0.0016034921152449952
43,08097,0.004163770963177329
44,08111,-0.00018764574144048012
45,08113,-0.0017068986831224795
46,08119,0.0015897025751049519
47,08123,0.16705095696203714
48,10001,0.09249095042972087
49,10005,0.3240436590037161
50,12059,0.0440770183022488
51,12091,0.5998950151361746
52,12113,0.46560925020579763
53,12131,0.328132983807536
54,13137,0.2742846603250984
55,13139,0.5682988598993045
56,13187,0.12161092545895669
57,13241,0.06896159767497344
58,13257,0.05604759916188525
59,13311,0.1643394823715457
60,16049,1.3081201901138744
61,17021,0.1365462801898105
62,17035,0.05963030166399398
63,17049,0.12412839227012204
64,17051,0.07518631658692501
65,17115,0.7875162332001931
66,17135,0.10167652621230139
67,17139,0.13669953607537094
68,17173,0.11491215731082915
69,18013,0.023229544721679686
70,18019,0.01929734611020043
71,18021,0.1475086591455282
72,18039,0.05780103148270982
73,18043,-0.0031505187196319215
74,18081,0.25963514042973707
75,18087,0.06413882636249067
76,18105,0.2036034797533926
77,18109,0.12192706029924848
78,18119,0.03547630700552047
79,18133,0.07677568497956899
80,18141,0.14522860136928084
81,18143,0.007471523804347802
82,18175,0.03964155487819731
83,19005,0.11155261709352297
84,19017,0.7181733986034465
85,19023,0.4563689369045316
86,19037,0.11467414891452649
87,19043,0.1850393248830999
88,19065,0.13846258021606875
89,19067,0.3485434202307456
90,19069,0.032932351960692136
91,19089,0.026025775269407896
92,19109,0.18742600131532614
93,19119,-0.0033998290948472746
94,19131,0.04306638521087776
95,19189,0.11442473527158746
96,19191,0.0660417713093048
97,19195,0.03276077838504032
98,20015,0.10716787137678668
99,20025,0.009645939793419399
100,20047,0.008626798240854397
101,20055,0.30961636268823745
102,20057,0.4926666524489587
103,20069,0.0584719859614232
104,20073,0.008551083111190618
105,20079,0.07247690359300785
106,20083,0.008139170323201054
107,20097,0.019805495325616294
108,20119,0.005189545563924923
109,20173,0.4213299590109331
110,21025,0.05987121360325668
111,21027,0.061894385066474496
112,21029,0.020166479060085424
113,21051,0.09856154203612108
114,21065,0.06986205989647976
115,21085,0.04322392210039155
116,21087,0.0007902525863643992
117,21093,0.6529931435499744
118,21099,0.09534901509202545
119,21109,0.05460971276447565
120,21115,0.001611203583249128
121,21123,0.03554071729504738
122,21125,0.2813878661024086
123,21129,0.03361950903033972
124,21153,0.04660547912082985
125,21163,0.011252654835031106
126,21165,0.008214507366600319
127,21175,0.06608660199020981
128,21189,0.020054355095404902
129,21197,-0.003630515254266411
130,21203,0.0689990966628838
131,21205,0.023216450776121687
132,21237,0.025998730538346154
133,22005,0.05444284479170321
134,22033,0.5989006276475722
135,22037,0.01966028207321349
136,22063,0.23013431284588556
137,22091,0.008767245196906429
138,22105,0.03802451687412424
139,22125,0.012666935085325345
140,24001,0.050782880158939385
141,24013,0.12651345210781587
142,24021,0.4231877049135237
143,24023,0.02040591823895819
144,24027,0.13920870044781275
145,24031,0.7685827694643805
146,24043,0.18522312053678366
147,25017,0.18184772932709872
148,25027,0.08368826740903142
149,26005,0.07910267110295247
150,26009,0.02993716068807385
151,26015,0.043350806323468626
152,26021,0.19526940814949068
153,26027,0.08799350157650847
154,26029,0.029060184876391483
155,26031,0.00828623958450022
156,26035,0.010019861154944156
157,26039,0.0130452944071224
158,26047,0.03557470894612526
159,26055,0.057964916429580335
160,26077,0.2879343983321131
161,26079,0.015020375378494115
162,26081,0.35062364400467866
163,26085,0.01581891477692445
164,26091,0.10770080933395648
165,26101,0.026331456584855084
166,26105,0.023095451680737112
167,26107,0.02601445235896188
168,26113,0.0028344286833747057
169,26115,0.3428598343635871
170,26117,0.04308275602006343
171,26119,0.005047949402122193
172,26121,0.1003258169800752
173,26123,0.06541581042842091
174,26127,0.02649596910540784
175,26133,0.011079736048776696
176,26135,0.004777057158759509
177,26137,0.027548034476696605
178,26139,0.13185868892784514
179,26159,0.08897904677881781
180,26165,0.011694118069582957
181,27001,-0.0028532013906251413
182,27005,0.07441517212016463
183,27007,0.11140460415961115
184,27009,-0.0051133908702858145
185,27011,0.0027785984975577088
186,27013,0.35763308138833005
187,27017,-0.009128870593686342
188,27019,-0.03151367624767961
189,27021,-0.013945534268159485
190,27023,-0.001959261675215792
191,27025,-0.004327319482477944
192,27027,0.1469625370168931
193,27029,0.0005709286849713179
194,27031,0.04484714274184641
