FIPS,F-VALUES
08001,76.22344106950653
08005,85.05986960074262
08007,77.15591107122576
08013,89.98185991550089
08014,80.48742146051326
08015,78.16278960520572
08019,75.58722578094348
08031,81.43592018083298
08033,74.59448395446822
08035,79.52291914941668
08037,82.63292053704765
08039,75.35992057545727
08041,97.62758899817133
08043,79.68670207599148
08045,77.23681053239807
08047,74.95486185124156
08051,78.57494041481125
08053,74.66173018770098
08059,90.69222679287915
08067,86.15186958595699
08069,92.28348240114474
08077,76.32743789438453
08079,74.67075393063354
08083,77.92976589075411
08093,75.51653708295956
08097,80.67250069776455
08111,78.69516027047237
08113,80.27040491988531
08119,77.6628997364732
08123,73.67616103166291
10001,75.27161298667865
10005,85.87804894160458
26005,80.4846212841352
26009,75.87826262928421
26015,76.79485361662624
26021,79.82163566178062
26027,74.87087985680822
26029,75.85440379478322
26031,75.5973320036398
26035,75.66786583627976
26039,74.45054177319992
26047,77.6999315957458
26055,81.36012167997188
26077,77.6211069416583
26079,75.55612463633202
26081,78.39685260619787
26085,75.51623935068615
26091,76.33821425491094
26101,75.6688941905994
26105,76.64381947999736
26107,81.24483663406079
26113,75.16700597548785
26115,74.21468716256739
26117,78.80358792347812
26119,74.8321766356712
26121,77.88901864974287
26123,78.76426290970993
26127,76.90828242596905
26133,75.76626433736183
26135,74.9281042245674
26137,76.05490130928975
26139,82.74447045289938
26159,75.45746869812422
26165,76.64709183591563
34005,81.5713805504748
34013,0.0
34019,77.35522433615155
34021,76.70949999960193
34023,87.38251099712082
34025,63.534588820993505
34027,77.29150687197586
34029,90.74796464965557
34031,31.986593121353742
34035,79.18372919473609
34037,74.07004080281156
34039,48.46815676026156
34041,71.6473927216747
39005,76.95519482442265
39007,74.04279403628391
39019,75.51084818923471
39021,73.7933470943935
39023,69.35804459506868
39029,75.8552411467433
39033,73.92088563374274
39035,2.0871301740466905
39039,76.07496076149366
39041,79.27264745307377
39043,77.45954390991481
39047,74.1585668676387
39049,80.51915500139489
39051,75.6463412284878
39055,78.15593597867107
39057,81.28781069187181
39069,74.9523550409331
39075,73.09390969796576
39077,74.79909713787634
39083,76.9198204768707
39085,74.17465317565714
39093,77.37152835260846
39095,53.65293043143071
39097,76.32255478123285
39099,65.79690997086792
39101,75.72644245693247
39103,78.96891826345677
39117,76.04555953164639
39123,76.43063307265456
39133,79.38481556274265
39137,74.47059077195111
39139,75.30509698631657
39143,76.77673023077325
39147,76.74511103715733
39151,75.72914093599921
39153,62.426218747012534
39155,80.12090745664517
39157,75.3714544949989
39159,77.21507520999049
39169,76.35393332543721
39171,74.92835601487306
39173,82.33242078642164
39175,75.11804747465867
42001,75.70911385889484
42003,41.59272240801617
42005,74.88548078500654
42007,75.28352947259836
42009,76.18808055654567
42011,49.27289452225242
42013,78.04393253242833
42015,74.54121748706947
42017,78.9136730961312
42019,78.49402598845799
42021,75.55447134567103
42023,75.18312572751627
42027,100.0
42029,87.62432861295208
42031,76.62368050138421
42033,76.81213013823863
42035,76.64338327022546
42039,75.3729782278885
42041,84.9083985740125
42043,78.09578839890975
42047,73.73182467168941
42049,75.30150271043607
42051,72.62366509510804
42053,76.97637072207303
42055,78.01589611390733
42057,74.97531836078657
42059,74.86186191952314
42061,76.93590731996862
42063,80.42953914891031
42065,76.99609297742667
42067,75.7831948753738
42071,75.38452128257487
42073,73.82426082613601
42075,75.19166706508115
42077,65.47925464835434
42081,76.82972659171841
42083,75.9868589636253
42085,75.35292566428747
42087,75.80456027844248
42089,75.9091841889541
42091,85.13188371577101
42095,76.69656537068207
42099,74.96476296598601
42103,73.89853611501809
42105,74.66709134652169
42111,78.59794158637862
42113,74.99813364903868
42115,74.3539376634352
42117,76.12023078958813
42121,75.18100206709835
42123,77.35199910728574
42125,74.63087946619406
42127,77.09862327275222
42129,78.23725472322788
42131,75.00051274467017
42133,71.97517368621888
50001,77.20617946197093
50005,76.51980200399173
50007,87.24416834998061
50009,74.85635383475349
50011,75.03336603572626
50013,73.9630377614595
50015,75.62154421957038
50019,74.96653007882549
54001,74.66184462881253
54003,73.9555250099161
54007,74.22698460364822
54009,77.0418578200482
54013,75.01716756590183
54015,74.48114179157098
54017,75.69368399910645
54021,75.74001357138238
54023,73.78671610904561
54025,74.14853663449634
54027,74.9139685629933
54029,74.11641233389025
54031,73.17514377251464
54033,75.89010234426655
54035,75.14767248209593
54037,73.25309540126513
54041,75.86707642586424
54049,75.4671290984255
54057,74.10456210893302
54061,84.04384507381606
54063,74.41039324401953
54065,74.98502059063749
54067,74.14613282670024
54071,74.73765391705473
54073,74.94886919691159
54075,77.18471776161034
54077,73.79270550023483
54083,75.50604695775807
54085,74.64380693676051
54087,74.18578476219014
54089,76.38835826419401
54091,73.97911795591183
54093,74.7767635180293
54095,74.8454161432356
54097,75.7030536951711
54101,74.41325997703498
54103,75.33991037829271
54105,74.93555487371619
54107,75.8121085940562
