,FIPS,F-VALUES
0,1001,0.0832094287946004
1,1003,0.115611989668485
2,1005,0.124555602772772
3,1007,0.0866849672935608
4,1009,0.0805092065641298
5,1011,0.139869056789636
6,1013,0.108888325281094
7,1015,0.132077162374851
8,1017,0.102134957900192
9,1019,0.0673747796895403
10,1021,0.0888939043344768
11,1023,0.0993621390218317
12,1025,0.119041646082966
13,1027,0.077192533843566
14,1029,0.064240497102008
15,1031,0.0964365363299354
16,1033,0.0838047032850664
17,1035,0.110302979128325
18,1037,0.0835978979762355
19,1039,0.0878115242487472
20,1041,0.0833141447377551
21,1043,0.0830444150300224
22,1045,0.10961344041901
23,1047,0.154372627770143
24,1049,0.0999362496212748
25,1051,0.0894319236537021
26,1053,0.119133158500862
27,1055,0.109831043322242
28,1057,0.0819254260384416
29,1059,0.090792544443696
30,1061,0.0819001082918185
31,1063,0.155161535334678
32,1065,0.125503610198112
33,1067,0.0855883460953549
34,1069,0.122488264248273
35,1071,0.0828969767977656
36,1073,0.378211411267773
37,1075,0.070581621767049
38,1077,0.0943704646559729
39,1079,0.0830677303515579
40,1081,0.136144284344496
41,1083,0.100827168310157
42,1085,0.139867223174842
43,1087,0.148425210583808
44,1089,0.196267294342667
45,1091,0.115129318099789
46,1093,0.0768403897770158
47,1095,0.0944160438424437
48,1097,0.240238696147419
49,1099,0.118152071386042
50,1101,0.210587704024158
51,1103,0.110285183698589
52,1105,0.149781861493747
53,1107,0.114192495410079
54,1109,0.108863564924581
55,1111,0.0800597234840227
56,1113,0.125698652086168
57,1115,0.0892078014859382
58,1117,0.118590290110428
59,1119,0.142238284098097
60,1121,0.125245242593176
61,1123,0.109000424770469
62,1125,0.173945693442881
63,1127,0.0943495071749974
64,1129,0.0940058065484933
65,1131,0.140070181391759
66,1133,0.0722480743659741
67,2013,0.123775796782292
68,2016,0.106864043676044
69,2020,0.192435904145291
70,2050,0.169044531319737
71,2060,0.0818142517421097
72,2063,0.0585467215366615
73,2066,0.085648200877584
74,2068,0.0652291929131481
75,2070,0.135886225204201
76,2090,0.11554245639608
77,2100,0.0751103462908497
78,2105,0.0960262011775051
79,2110,0.0810801704966177
80,2122,0.0952651626096718
81,2130,0.0808356354400017
82,2150,0.0900049900575506
83,2158,0.177478297449593
84,2164,0.123903714752638
85,2170,0.129358118059812
86,2180,0.148628838046591
87,2185,0.113903931449349
88,2188,0.147193495455303
89,2195,0.074658955408015
90,2198,0.107790372589795
91,2220,0.0771127175973252
92,2230,0.0597299761533309
93,2240,0.0727069893945438
94,2275,0.0758320919191515
95,2282,0.10303371316995
96,2290,0.135997301402757
97,4001,0.174684226255702
98,4003,0.138356951571428
99,4005,0.176119237102064
100,4007,0.109315411345474
101,4009,0.112630590071908
102,4011,0.0955602138781254
103,4012,0.106972122999028
104,4013,1.69002406916101
105,4015,0.159946859105909
106,4017,0.177078553039676
107,4025,0.145728591315802
108,4027,0.223544030896824
109,5001,0.0877946138408282
110,5003,0.0948119027516625
111,5005,0.0707109050243891
112,5007,0.118807204720376
113,5009,0.067511142036856
114,5011,0.100145203566339
115,5013,0.0774774789954425
116,5015,0.0785678054496594
117,5017,0.130276093479507
118,5019,0.0936803715533715
119,5021,0.0707402842601145
120,5023,0.0655802524784033
121,5025,0.0745632297814006
122,5027,0.108278739723085
123,5029,0.0880335448738289
124,5031,0.120772708806557
125,5033,0.0893048013804959
126,5035,0.141162409287867
127,5037,0.090360079693518
128,5039,0.0970399469270282
129,5041,0.121012730582041
130,5043,0.0947036220007037
131,5045,0.102278572201172
132,5047,0.0761836262411119
133,5049,0.0750381678123173
134,5051,0.109675434141131
135,5053,0.0571887096324202
136,5055,0.0847069401594912
137,5057,0.106119653769605
138,5059,0.0801287340290729
139,5061,0.0979769511569493
140,5063,0.0754845557396043
141,5065,0.0761029564430237
142,5067,0.0935279898070186
143,5069,0.147560248226475
144,5071,0.0854649249652851
145,5073,0.10593233516808
146,5075,0.0713392984902177
147,5077,0.12527763461893
148,5079,0.0885741758445779
149,5081,0.0830396345186278
150,5083,0.0755706278940365
151,5085,0.0832309571530526
152,5087,0.0768150546691032
153,5089,0.0678554581990529
154,5091,0.107741332073876
155,5093,0.122513942221214
156,5095,0.10509453579393
157,5097,0.0699951757897125
158,5099,0.0906904747549954
159,5101,0.0574229878726605
160,5103,0.113303310919275
161,5105,0.0658304626816762
162,5107,0.140839080638028
163,5109,0.0716581848705626
164,5111,0.0806293807619387
165,5113,0.0863112177353808
166,5115,0.0944704160104351
167,5117,0.0681695168548042
168,5119,0.230241172945858
169,5121,0.0739194696699653
170,5123,0.128150847081917
171,5125,0.0911651486803661
172,5127,0.0763001290961145
173,5129,0.0762361655435153
174,5131,0.125668637697598
175,5133,0.100867172396244
176,5135,0.0741907312191233
177,5137,0.078780255235963
178,5139,0.0984886350586069
179,5141,0.0736229108601898
180,5143,0.154277848879149
181,5145,0.0903410796720484
182,5147,0.0915899169908538
183,5149,0.0877028540408741
184,6001,0.705660518386219
185,6003,0.0895806609040905
186,6005,0.0747174537674901
187,6007,0.189129088031276
188,6009,0.0778540580344162
189,6011,0.112785087597516
190,6013,0.548191663036695
191,6015,0.0972679927501505
192,6017,0.11961196156296
193,6021,0.105293199136962
194,6023,0.16667764817017
195,6033,0.122615672858984
196,6035,0.0873433972602693
197,6039,0.203432219960244
198,6041,0.150559164281112
199,6043,0.0792908582111266
200,6045,0.13468477732348
201,6047,0.301792402185305
202,6049,0.0771579028234021
203,6053,0.251567084514932
204,6055,0.128752987771826
205,6057,0.0829817717390109
206,6061,0.174178836484966
207,6063,0.0694745994299944
208,6067,0.784762519458954
209,6069,0.135374322162579
210,6075,0.453944373511666
211,6077,0.461333635192531
212,6079,0.158213960400258
213,6081,0.331626790881038
214,6085,0.722546592710496
215,6087,0.20779730567973
216,6089,0.134850649809696
217,6091,0.0575744701729059
218,6093,0.0953893658896904
219,6095,0.279773532629121
220,6097,0.246620587328185
221,6099,0.41634910584858
222,6101,0.145236033348471
223,6103,0.121002819134097
224,6105,0.0850576108973895
225,6113,0.183395762403001
226,6115,0.123769388863607
227,8003,0.116532755733176
228,8009,0.0720543528591537
229,8011,0.10338743665007
230,8017,0.0630408437527414
231,8021,0.115674717023244
232,8023,0.130223258525274
233,8025,0.105043499042531
234,8027,0.0571999849287705
235,8029,0.0856016775187209
236,8049,0.0613565034174066
237,8055,0.0822931424712644
238,8057,0.0579377951011637
239,8061,0.062337414033913
240,8063,0.0728576322598666
241,8065,0.0772177434288822
242,8071,0.105260384489951
243,8073,0.0784635088153286
244,8075,0.0831167836654636
245,8081,0.0755405036580312
246,8085,0.0834193644289151
247,8087,0.0941809124406166
248,8089,0.111783656529093
249,8091,0.0485369015537082
250,8095,0.0783548898822938
251,8099,0.0964424904565137
252,8101,0.16931974813036
253,8103,0.0666776791979829
254,8105,0.102415344243866
255,8107,0.0601326857580606
256,8109,0.0989788916448325
257,8115,0.0751354205293361
258,8117,0.0676679777342934
259,8121,0.0622491494769569
260,8125,0.0741793578848206
261,9001,0.545107684189238
262,9003,0.467323383772466
263,9005,0.132499516895233
264,9007,0.109204565475054
265,9009,0.491232584535623
266,9011,0.167614835088012
267,9013,0.110631466694441
268,9015,0.121791524170751
269,10003,0.333337674969413
270,11001,0.513660823927774
271,12001,0.185193126153394
