"FIPS","F_VALUE","STATE","EP_POV150","EP_MINRTY","E_UNEMP"
21085,0.0432239221003915,"Kentucky",36.1,4.3,389
21087,0.000790252586364399,"Kentucky",38,5.8,239
21093,0.652993143549974,"Kentucky",20.7,24.3,3420
21099,0.0953490150920255,"Kentucky",36.2,8.5,319
21109,0.0546097127644756,"Kentucky",41,2.1,271
21115,0.00161120358324913,"Kentucky",38.2,2.9,682
21123,0.0355407172950474,"Kentucky",25.3,9.1,157
21125,0.281387866102409,"Kentucky",33.9,4.3,1252
21129,0.0336195090303397,"Kentucky",50.4,5.2,240
21153,0.0466054791208299,"Kentucky",46.2,2.2,473
21163,0.0112526548350311,"Kentucky",19.9,10.8,694
21165,0.00821450736660032,"Kentucky",34.1,4.8,110
21175,0.0660866019902098,"Kentucky",34.7,8.2,223
21189,0.0200543550954049,"Kentucky",39.9,7.3,151
21197,-0.00363051525426641,"Kentucky",31.2,4.4,305
21203,0.0689990966628838,"Kentucky",34.8,3.1,609
21205,0.0232164507761217,"Kentucky",38.9,5.6,430
21237,0.0259987305383462,"Kentucky",57.1,2.4,504
22005,0.0544428447917032,"Louisiana",15.3,32.2,3849
22033,0.598900627647572,"Louisiana",25.6,55.7,15159
22037,0.0196602820732135,"Louisiana",20.6,46.5,475
22063,0.230134312845886,"Louisiana",18.7,12.9,3449
22091,0.00876724519690643,"Louisiana",34,55.9,808
22105,0.0380245168741242,"Louisiana",30.8,37.2,4280
22125,0.0126669350853253,"Louisiana",16.8,47.7,517
24001,0.0507828801589394,"Maryland",26.4,13.4,2216
24013,0.126513452107816,"Maryland",8.3,11.7,3145
24021,0.423187704913524,"Maryland",10.4,27.6,5767
24023,0.0204059182389582,"Maryland",19.8,3.8,602
24027,0.139208700447813,"Maryland",8.7,49.3,6860
24031,0.768582769464381,"Maryland",11.7,56.9,27203
24043,0.185223120536784,"Maryland",19.1,22,3997
25017,0.181847729327099,"Massachusetts",11.4,29,38804
25027,0.0836882674090314,"Massachusetts",15.5,24.3,21615
26005,0.0791026711029525,"Michigan",16.9,12.6,1948
26009,0.0299371606880738,"Michigan",18.8,5.8,458
26015,0.0433508063234686,"Michigan",14,6.1,1611
26021,0.195269408149491,"Michigan",25.9,25.8,4683
26027,0.0879935015765085,"Michigan",18.6,14.9,1471
26029,0.0290601848763915,"Michigan",17.2,6.4,630
26031,0.00828623958450022,"Michigan",24.3,8.8,827
26035,0.0100198611549442,"Michigan",33.3,5.3,1231
26039,0.0130452944071224,"Michigan",27.2,6,438
26047,0.0355747089461253,"Michigan",18.2,10.6,681
26055,0.0579649164295803,"Michigan",17,7.5,1867
26077,0.287934398332113,"Michigan",22.6,23.2,8780
26079,0.0150203753784941,"Michigan",26.8,6.1,465
26081,0.350623644004679,"Michigan",19.2,27.1,16202
26085,0.0158189147769244,"Michigan",36.4,14.8,242
26091,0.107700809333956,"Michigan",20.4,13.8,2274
26101,0.0263314565848551,"Michigan",20.3,11.4,762
26105,0.0230954516807371,"Michigan",25.1,8.7,596
26107,0.0260144523589619,"Michigan",29.4,9.3,1229
26113,0.00283442868337471,"Michigan",23.6,6.5,542
26115,0.342859834363587,"Michigan",17.5,9.1,3667
26117,0.0430827560200634,"Michigan",22.3,8.8,1147
26119,0.00504794940212219,"Michigan",26.4,4.4,247
26121,0.100325816980075,"Michigan",24.6,23.9,5955
26123,0.0654158104284209,"Michigan",25.8,10,1138
26127,0.0264959691054078,"Michigan",27.2,18.6,705
26133,0.0110797360487767,"Michigan",27,5.8,744
26135,0.00477705715875951,"Michigan",24.7,5.1,287
26137,0.0275480344766966,"Michigan",24.1,5.6,666
26139,0.131858688927845,"Michigan",14.1,16.8,6285
26159,0.0889790467788178,"Michigan",25.9,19.3,1895
26165,0.011694118069583,"Michigan",24.4,6.5,928
27001,-0.00285320139062514,"Minnesota",22.8,6.3,341
27005,0.0744151721201646,"Minnesota",20.2,14.4,651
27007,0.111404604159611,"Minnesota",28.8,28.4,1390
27009,-0.00511339087028581,"Minnesota",16.6,11.1,750
27011,0.00277859849755771,"Minnesota",21.7,3.8,64
27013,0.35763308138833,"Minnesota",25.4,12.6,1556
27017,-0.00912887059368634,"Minnesota",18,11.9,819
27019,-0.0315136762476796,"Minnesota",6,11.7,1463
27021,-0.0139455342681595,"Minnesota",24.2,19.6,858
27023,-0.00195926167521579,"Minnesota",21.2,13.4,329
