"FIPS","F_VALUE","STATE","EP_POV150","EP_MINRTY","E_UNEMP"
53053,0.270102672632209,"Washington",15.4,34.3,22195
53055,0.00153490755435812,"Washington",16.9,11.8,169
53071,0.00345356613915901,"Washington",19.8,28.8,1548
54001,0.0271887042756445,"West Virginia",30.5,5.6,608
54003,0.168097238862091,"West Virginia",18.4,16.8,3683
54007,0.0442032667222783,"West Virginia",34.3,8.1,717
54009,0.0270586609174233,"West Virginia",21.7,5.5,388
54013,0.0445544000309714,"West Virginia",35.6,0.7,296
54015,0.0126651991993752,"West Virginia",38.5,0.9,367
54017,0.0186508054275027,"West Virginia",26.7,4.2,136
54021,0.0182403274629779,"West Virginia",25.4,18.7,345
54023,0.018700669661362,"West Virginia",25.8,3.5,350
54025,0.118542100908009,"West Virginia",29.6,8.5,898
54027,0.0502947135029162,"West Virginia",21.4,4.4,726
54029,0.0338562966350153,"West Virginia",24.7,6.5,1138
54031,0.0252200380297458,"West Virginia",25.3,10.2,237
54033,0.232833358991968,"West Virginia",24.4,6,1855
54035,0.0279378991426413,"West Virginia",25.8,3.3,379
54037,0.150560067458033,"West Virginia",14.8,17.2,1700
54041,0.0354285102590036,"West Virginia",28.7,5.9,438
54049,0.276276956943426,"West Virginia",27,7.9,1524
54057,0.0299215051840295,"West Virginia",21.4,6.6,921
54061,0.460535455529587,"West Virginia",28.2,12.6,3745
54063,0.0273697943157067,"West Virginia",25.6,3.9,556
54065,0.0081428872861249,"West Virginia",19.7,4.9,535
54067,0.0596497764946581,"West Virginia",29.6,3.1,832
54071,0.00465107726508472,"West Virginia",24.1,5.9,114
54073,0.0101392925319864,"West Virginia",21.7,4.3,256
54075,0.0154561655835267,"West Virginia",33.1,1.8,236
54077,0.0718437663632645,"West Virginia",22.2,8.9,1331
54083,0.0381845114129074,"West Virginia",27.6,6.6,820
54085,0.0241855859484072,"West Virginia",27.3,3.2,194
54087,0.0324395886153949,"West Virginia",36,4.5,508
54089,0.0186031558008394,"West Virginia",31.4,8,442
54091,0.0284316364484286,"West Virginia",27,4.5,786
54093,0.000389463215939287,"West Virginia",19.1,2.8,164
54095,0.012572442307467,"West Virginia",24.3,3,252
54097,0.066015311981703,"West Virginia",33.2,5.3,618
54101,0.0247343578991823,"West Virginia",40.4,1.6,349
54103,0.0448501378452362,"West Virginia",29.6,3.2,472
54105,0.0029931545929077,"West Virginia",36.8,3.2,98
54107,0.211241931889278,"West Virginia",25.8,5,1882
55005,0.113454186357884,"Wisconsin",23.2,7.2,651
55013,0.0125542744552263,"Wisconsin",23.3,9.6,390
55017,0.387855593048943,"Wisconsin",18.8,6.7,866
55031,0.0368764674435988,"Wisconsin",19.6,9.1,912
55033,0.346749338544309,"Wisconsin",22.2,7.6,831
55073,0.0536048788149769,"Wisconsin",16.2,12.5,2175
55091,0.05162478709814,"Wisconsin",17.5,3.8,92
55093,0.0544900048873444,"Wisconsin",13.2,6.5,757
55095,0.0164761075369065,"Wisconsin",17,5.2,893
55097,0.0170788259197468,"Wisconsin",18.7,9.2,1267
55107,0.00928437396158821,"Wisconsin",24.6,5.5,275
55109,0.471109533523657,"Wisconsin",9.2,6.4,1041
55113,0.0073974075439231,"Wisconsin",25.3,23.2,395
55115,0.0250173856315171,"Wisconsin",19.4,13.7,655
55129,0.0293190048393319,"Wisconsin",22.4,6,257
55135,0.0279213986118301,"Wisconsin",16.7,5.9,627
56003,0.0408044621435603,"Wyoming",20.6,12.5,386
56005,1.10597455744736,"Wyoming",17.9,12.7,1003
56011,0.065882192798037,"Wyoming",14.3,6,36
56019,0.0419947733000787,"Wyoming",24.8,8.7,118
56033,0.27214139575617,"Wyoming",15.1,8.6,557
56045,0.0538145716116965,"Wyoming",20.3,9.3,118
