"","Burden","AorP"
"1",0.0832094287946004,"Predicted"
"2",0.115611989668485,"Predicted"
"3",0.124555602772772,"Predicted"
"4",0.0866849672935608,"Predicted"
"5",0.0805092065641298,"Predicted"
"6",0.139869056789636,"Predicted"
"7",0.108888325281094,"Predicted"
"8",0.132077162374851,"Predicted"
"9",0.102134957900192,"Predicted"
"10",0.0673747796895403,"Predicted"
"11",0.0888939043344768,"Predicted"
"12",0.0993621390218317,"Predicted"
"13",0.119041646082966,"Predicted"
"14",0.077192533843566,"Predicted"
"15",0.064240497102008,"Predicted"
"16",0.0964365363299354,"Predicted"
"17",0.0838047032850664,"Predicted"
"18",0.110302979128325,"Predicted"
"19",0.0835978979762355,"Predicted"
"20",0.0878115242487472,"Predicted"
"21",0.0833141447377551,"Predicted"
"22",0.0830444150300224,"Predicted"
"23",0.10961344041901,"Predicted"
"24",0.154372627770143,"Predicted"
"25",0.0999362496212748,"Predicted"
"26",0.0894319236537021,"Predicted"
"27",0.119133158500862,"Predicted"
"28",0.109831043322242,"Predicted"
"29",0.0819254260384416,"Predicted"
"30",0.090792544443696,"Predicted"
"31",0.0819001082918185,"Predicted"
"32",0.155161535334678,"Predicted"
"33",0.125503610198112,"Predicted"
"34",0.0855883460953549,"Predicted"
"35",0.122488264248273,"Predicted"
"36",0.0828969767977656,"Predicted"
"37",0.378211411267773,"Predicted"
"38",0.070581621767049,"Predicted"
"39",0.0943704646559729,"Predicted"
"40",0.0830677303515579,"Predicted"
"41",0.136144284344496,"Predicted"
"42",0.100827168310157,"Predicted"
"43",0.139867223174842,"Predicted"
"44",0.148425210583808,"Predicted"
"45",0.196267294342667,"Predicted"
"46",0.115129318099789,"Predicted"
"47",0.0768403897770158,"Predicted"
"48",0.0944160438424437,"Predicted"
"49",0.240238696147419,"Predicted"
"50",0.118152071386042,"Predicted"
"51",0.210587704024158,"Predicted"
"52",0.110285183698589,"Predicted"
"53",0.149781861493747,"Predicted"
"54",0.114192495410079,"Predicted"
"55",0.108863564924581,"Predicted"
"56",0.0800597234840227,"Predicted"
"57",0.125698652086168,"Predicted"
"58",0.0892078014859382,"Predicted"
"59",0.118590290110428,"Predicted"
"60",0.142238284098097,"Predicted"
"61",0.125245242593176,"Predicted"
"62",0.109000424770469,"Predicted"
"63",0.173945693442881,"Predicted"
"64",0.0943495071749974,"Predicted"
"65",0.0940058065484933,"Predicted"
"66",0.140070181391759,"Predicted"
"67",0.0722480743659741,"Predicted"
"68",0.123775796782292,"Predicted"
"69",0.106864043676044,"Predicted"
"70",0.192435904145291,"Predicted"
"71",0.169044531319737,"Predicted"
"72",0.0818142517421097,"Predicted"
"73",0.0585467215366615,"Predicted"
"74",0.085648200877584,"Predicted"
"75",0.0652291929131481,"Predicted"
"76",0.135886225204201,"Predicted"
"77",0.11554245639608,"Predicted"
"78",0.0751103462908497,"Predicted"
"79",0.0960262011775051,"Predicted"
"80",0.0810801704966177,"Predicted"
"81",0.0952651626096718,"Predicted"
"82",0.0808356354400017,"Predicted"
"83",0.0900049900575506,"Predicted"
"84",0.177478297449593,"Predicted"
"85",0.123903714752638,"Predicted"
"86",0.129358118059812,"Predicted"
"87",0.148628838046591,"Predicted"
"88",0.113903931449349,"Predicted"
"89",0.147193495455303,"Predicted"
"90",0.074658955408015,"Predicted"
"91",0.107790372589795,"Predicted"
"92",0.0771127175973252,"Predicted"
"93",0.0597299761533309,"Predicted"
"94",0.0727069893945438,"Predicted"
"95",0.0758320919191515,"Predicted"
"96",0.10303371316995,"Predicted"
"97",0.135997301402757,"Predicted"
"98",0.174684226255702,"Predicted"
"99",0.138356951571428,"Predicted"
"100",0.176119237102064,"Predicted"
"101",0.109315411345474,"Predicted"
"102",0.112630590071908,"Predicted"
"103",0.0955602138781254,"Predicted"
"104",0.106972122999028,"Predicted"
"105",1.69002406916101,"Predicted"
"106",0.159946859105909,"Predicted"
"107",0.177078553039676,"Predicted"
"108",0.145728591315802,"Predicted"
"109",0.223544030896824,"Predicted"
"110",0.0877946138408282,"Predicted"
"111",0.0948119027516625,"Predicted"
"112",0.0707109050243891,"Predicted"
"113",0.118807204720376,"Predicted"
"114",0.067511142036856,"Predicted"
"115",0.100145203566339,"Predicted"
"116",0.0774774789954425,"Predicted"
"117",0.0785678054496594,"Predicted"
"118",0.130276093479507,"Predicted"
"119",0.0936803715533715,"Predicted"
"120",0.0707402842601145,"Predicted"
"121",0.0655802524784033,"Predicted"
"122",0.0745632297814006,"Predicted"
"123",0.108278739723085,"Predicted"
"124",0.0880335448738289,"Predicted"
"125",0.120772708806557,"Predicted"
"126",0.0893048013804959,"Predicted"
"127",0.141162409287867,"Predicted"
"128",0.090360079693518,"Predicted"
"129",0.0970399469270282,"Predicted"
"130",0.121012730582041,"Predicted"
"131",0.0947036220007037,"Predicted"
"132",0.102278572201172,"Predicted"
"133",0.0761836262411119,"Predicted"
"134",0.0750381678123173,"Predicted"
"135",0.109675434141131,"Predicted"
"136",0.0571887096324202,"Predicted"
"137",0.0847069401594912,"Predicted"
"138",0.106119653769605,"Predicted"
"139",0.0801287340290729,"Predicted"
"140",0.0979769511569493,"Predicted"
"141",0.0754845557396043,"Predicted"
"142",0.0761029564430237,"Predicted"
"143",0.0935279898070186,"Predicted"
"144",0.147560248226475,"Predicted"
"145",0.0854649249652851,"Predicted"
"146",0.10593233516808,"Predicted"
"147",0.0713392984902177,"Predicted"
"148",0.12527763461893,"Predicted"
"149",0.0885741758445779,"Predicted"
"150",0.0830396345186278,"Predicted"
"151",0.0755706278940365,"Predicted"
"152",0.0832309571530526,"Predicted"
"153",0.0768150546691032,"Predicted"
"154",0.0678554581990529,"Predicted"
"155",0.107741332073876,"Predicted"
"156",0.122513942221214,"Predicted"
"157",0.10509453579393,"Predicted"
"158",0.0699951757897125,"Predicted"
"159",0.0906904747549954,"Predicted"
"160",0.0574229878726605,"Predicted"
"161",0.113303310919275,"Predicted"
"162",0.0658304626816762,"Predicted"
"163",0.140839080638028,"Predicted"
"164",0.0716581848705626,"Predicted"
"165",0.0806293807619387,"Predicted"
"166",0.0863112177353808,"Predicted"
"167",0.0944704160104351,"Predicted"
"168",0.0681695168548042,"Predicted"
"169",0.230241172945858,"Predicted"
"170",0.0739194696699653,"Predicted"
"171",0.128150847081917,"Predicted"
"172",0.0911651486803661,"Predicted"
"173",0.0763001290961145,"Predicted"
"174",0.0762361655435153,"Predicted"
"175",0.125668637697598,"Predicted"
"176",0.100867172396244,"Predicted"
"177",0.0741907312191233,"Predicted"
"178",0.078780255235963,"Predicted"
"179",0.0984886350586069,"Predicted"
"180",0.0736229108601898,"Predicted"
"181",0.154277848879149,"Predicted"
"182",0.0903410796720484,"Predicted"
"183",0.0915899169908538,"Predicted"
"184",0.0877028540408741,"Predicted"
"185",0.705660518386219,"Predicted"
"186",0.0895806609040905,"Predicted"
"187",0.0747174537674901,"Predicted"
"188",0.189129088031276,"Predicted"
"189",0.0778540580344162,"Predicted"
"190",0.112785087597516,"Predicted"
"191",0.548191663036695,"Predicted"
"192",0.0972679927501505,"Predicted"
"193",0.11961196156296,"Predicted"
"194",0.105293199136962,"Predicted"
"195",0.16667764817017,"Predicted"
"196",0.122615672858984,"Predicted"
"197",0.0873433972602693,"Predicted"
"198",0.203432219960244,"Predicted"
"199",0.150559164281112,"Predicted"
"200",0.0792908582111266,"Predicted"
"201",0.13468477732348,"Predicted"
"202",0.301792402185305,"Predicted"
"203",0.0771579028234021,"Predicted"
"204",0.251567084514932,"Predicted"
"205",0.128752987771826,"Predicted"
"206",0.0829817717390109,"Predicted"
"207",0.174178836484966,"Predicted"
"208",0.0694745994299944,"Predicted"
"209",0.784762519458954,"Predicted"
"210",0.135374322162579,"Predicted"
"211",0.453944373511666,"Predicted"
"212",0.461333635192531,"Predicted"
"213",0.158213960400258,"Predicted"
"214",0.331626790881038,"Predicted"
"215",0.722546592710496,"Predicted"
"216",0.20779730567973,"Predicted"
"217",0.134850649809696,"Predicted"
"218",0.0575744701729059,"Predicted"
"219",0.0953893658896904,"Predicted"
"220",0.279773532629121,"Predicted"
"221",0.246620587328185,"Predicted"
"222",0.41634910584858,"Predicted"
"223",0.145236033348471,"Predicted"
"224",0.121002819134097,"Predicted"
"225",0.0850576108973895,"Predicted"
"226",0.183395762403001,"Predicted"
"227",0.123769388863607,"Predicted"
"228",0.116532755733176,"Predicted"
"229",0.0720543528591537,"Predicted"
"230",0.10338743665007,"Predicted"
"231",0.0630408437527414,"Predicted"
"232",0.115674717023244,"Predicted"
"233",0.130223258525274,"Predicted"
"234",0.105043499042531,"Predicted"
"235",0.0571999849287705,"Predicted"
"236",0.0856016775187209,"Predicted"
"237",0.0613565034174066,"Predicted"
"238",0.0822931424712644,"Predicted"
"239",0.0579377951011637,"Predicted"
"240",0.062337414033913,"Predicted"
"241",0.0728576322598666,"Predicted"
"242",0.0772177434288822,"Predicted"
"243",0.105260384489951,"Predicted"
"244",0.0784635088153286,"Predicted"
"245",0.0831167836654636,"Predicted"
"246",0.0755405036580312,"Predicted"
"247",0.0834193644289151,"Predicted"
"248",0.0941809124406166,"Predicted"
"249",0.111783656529093,"Predicted"
"250",0.0485369015537082,"Predicted"
"251",0.0783548898822938,"Predicted"
"252",0.0964424904565137,"Predicted"
"253",0.16931974813036,"Predicted"
"254",0.0666776791979829,"Predicted"
"255",0.102415344243866,"Predicted"
"256",0.0601326857580606,"Predicted"
"257",0.0989788916448325,"Predicted"
"258",0.0751354205293361,"Predicted"
"259",0.0676679777342934,"Predicted"
"260",0.0622491494769569,"Predicted"
"261",0.0741793578848206,"Predicted"
"262",0.545107684189238,"Predicted"
"263",0.467323383772466,"Predicted"
"264",0.132499516895233,"Predicted"
"265",0.109204565475054,"Predicted"
"266",0.491232584535623,"Predicted"
"267",0.167614835088012,"Predicted"
"268",0.110631466694441,"Predicted"
"269",0.121791524170751,"Predicted"
"270",0.333337674969413,"Predicted"
"271",0.513660823927774,"Predicted"
