FIPS,F-VALUES
08001,5.244688213901306
08005,7.011973920148524
08007,5.431182214245151
08013,7.996371983100179
08014,6.097484292102653
08015,5.632557921041144
08019,5.117445156188696
08031,6.287184036166593
08033,4.918896790893644
08035,5.904583829883336
08037,6.52658410740953
08039,5.071984115091453
08041,9.525517799634269
08043,5.937340415198294
08045,5.447362106479613
08047,4.990972370248313
08051,5.714988082962249
08053,4.932346037540196
08059,8.13844535857583
08067,7.230373917191397
08069,8.456696480228945
08077,5.265487578876906
08079,4.9341507861267075
08083,5.58595317815082
08093,5.10330741659191
08097,6.134500139552909
08111,5.739032054094475
08113,6.054080983977062
08119,5.532579947294639
08123,4.735232206332581
10001,5.054322597335728
10005,7.175609788320916
26005,6.096924256827041
26009,5.17565252585684
26015,5.358970723325248
26021,5.9643271323561216
26027,4.9741759713616425
26029,5.1708807589566455
26031,5.119466400727962
26035,5.1335731672559515
26039,4.890108354639983
26047,5.539986319149158
26055,6.272024335994377
26077,5.524221388331659
26079,5.1112249272664005
26081,5.679370521239573
26085,5.103247870137231
26091,5.267642850982188
26101,5.133778838119881
26105,5.328763895999472
26107,6.248967326812156
26113,5.03340119509757
26115,4.842937432513477
26117,5.760717584695623
26119,4.96643532713424
26121,5.577803729948572
26123,5.752852581941985
26127,5.38165648519381
26133,5.153252867472368
26135,4.9856208449134805
26137,5.21098026185795
26139,6.548894090579875
26159,5.091493739624845
26165,5.329418367183127
34005,6.3142761100949585
34013,-10.0
34019,5.47104486723031
34021,5.341899999920386
34023,7.476502199424161
34025,2.7069177641986997
34027,5.45830137439517
34029,8.149592929931114
34031,-3.6026813757292517
34035,5.836745838947216
34037,4.814008160562313
34039,-0.30636864794768925
34041,4.32947854433494
39005,5.39103896488453
39007,4.808558807256782
39019,5.102169637846941
39021,4.758669418878698
39023,3.8716089190137346
39029,5.171048229348658
39033,4.784177126748549
39035,-9.582573965190662
39039,5.214992152298732
39041,5.854529490614754
39043,5.491908781982962
39047,4.831713373527737
39049,6.103831000278976
39051,5.12926824569756
39055,5.6311871957342134
39057,6.257562138374361
39069,4.990471008186619
39075,4.618781939593152
39077,4.959819427575269
39083,5.3839640953741394
39085,4.8349306351314265
39093,5.474305670521691
39095,0.7305860862861433
39097,5.2645109562465695
39099,3.159381994173584
39101,5.145288491386493
39103,5.793783652691355
39117,5.209111906329277
39123,5.286126614530911
39133,5.876963112548529
39137,4.894118154390222
39139,5.061019397263314
39143,5.355346046154651
39147,5.3490222074314655
39151,5.145828187199843
39153,2.485243749402507
39155,6.024181491329035
39157,5.074290898999779
39159,5.443015041998098
39169,5.270786665087442
39171,4.985671202974613
39173,6.466484157284327
39175,5.023609494931732
42001,5.141822771778967
42003,-1.6814555183967652
42005,4.9770961570013075
42007,5.0567058945196734
42009,5.237616111309135
42011,-0.14542109554951566
42013,5.608786506485666
42015,4.908243497413894
42017,5.782734619226241
42019,5.698805197691598
42021,5.1108942691342065
42023,5.036625145503255
42027,10.0
42029,7.524865722590416
42031,5.324736100276841
42033,5.362426027647727
42035,5.328676654045092
42039,5.0745956455777
42041,6.9816797148025
42043,5.619157679781949
42047,4.7463649343378815
42049,5.060300542087214
42051,4.524733019021607
42053,5.395274144414605
42055,5.603179222781467
42057,4.9950636721573165
42059,4.972372383904625
42061,5.387181463993723
42063,6.085907829782062
42065,5.399218595485333
42067,5.156638975074758
42071,5.076904256514974
42073,4.7648521652272
42075,5.038333413016229
42077,3.0958509296708687
42081,5.365945318343682
42083,5.197371792725059
42085,5.070585132857495
42087,5.160912055688497
42089,5.18183683779082
42091,7.026376743154202
42095,5.339313074136413
42099,4.992952593197202
42103,4.7797072230036175
42105,4.933418269304337
42111,5.719588317275724
42113,4.9996267298077335
42115,4.870787532687039
42117,5.224046157917627
42121,5.036200413419671
42123,5.470399821457148
42125,4.9261758932388116
42127,5.419724654550443
42129,5.647450944645575
42131,5.000102548934036
42133,4.395034737243774
50001,5.441235892394186
50005,5.303960400798346
50007,7.448833669996123
50009,4.971270766950697
50011,5.006673207145251
50013,4.7926075522919
50015,5.124308843914076
50019,4.993306015765096
54001,4.932368925762507
54003,4.791105001983221
54007,4.845396920729645
54009,5.40837156400964
54013,5.003433513180367
54015,4.896228358314195
54017,5.13873679982129
54021,5.148002714276476
54023,4.7573432218091245
54025,4.829707326899266
54027,4.98279371259866
54029,4.82328246677805
54031,4.63502875450293
54033,5.178020468853308
54035,5.029534496419185
54037,4.6506190802530245
54041,5.173415285172849
54049,5.0934258196851
54057,4.8209124217866055
54061,6.808769014763211
54063,4.8820786488039065
54065,4.997004118127499
54067,4.829226565340047
54071,4.947530783410945
54073,4.989773839382318
54075,5.436943552322068
54077,4.7585411000469655
54083,5.101209391551615
54085,4.928761387352102
54087,4.837156952438027
54089,5.2776716528388015
54091,4.7958235911823675
54093,4.955352703605861
54095,4.9690832286471185
54097,5.140610739034221
54101,4.882651995406997
54103,5.067982075658543
54105,4.987110974743237
54107,5.16242171881124
